at_0,de_1,de_2,de_3,id_100,id_101,id_103,id_200,id_500
,,,,51,,,2012,
,,,,51,,,2013,
,,,,51,,,2014,
,,,,51,,,2015,
,,,,56,,,1995,
,,,,56,,,1996,
,,,,56,,,1997,
,,,,56,,,1998,
,,,,56,,,1999,
,52.728188,,65.904366,56,Belgium,BEL,2000,56.2
,,,,56,,,2001,
,,,,56,,,2002,
,,,,56,,,2003,
,,,,56,,,2004,
,,,,56,,,2005,
,,,,56,,,2006,
,,,,56,,,2007,
,,,,56,,,2008,
,,,,56,,,2009,
,,,,56,,,2010,
,,,,56,,,2011,
50.963081,55.264996,,74.450462,56,Belgium,BEL,2012,56.2012
,,,,56,,,2013,
,,,,56,,,2014,
,,,,56,,,2015,
,,,,68,,,1995,
17.701452,38.361507,74.49118,28.571428,68,Bolivia,BOL,1996,68.1996
13.917526,41.31274,76.052635,28.894808,68,Bolivia,BOL,1997,68.19970000000001
21.364222,44.861481,67.833557,28.668478,68,Bolivia,BOL,1998,68.1998
,,,,68,,,1999,
18.51145,36.53846,77.070709,36.311298,68,Bolivia,BOL,2000,68.2
,,,,68,,,2001,
,,,,68,,,2002,
20.169491,33.724831,65.11628,20.787746,68,Bolivia,BOL,2003,68.2003
31.568094,40.765579,75.732841,35.258621,68,Bolivia,BOL,2004,68.2004
20.417028,42.304482,66.357483,19.704062,68,Bolivia,BOL,2005,68.20050000000001
35.356342,50.278824,73.059326,40.784672,68,Bolivia,BOL,2006,68.20059999999999
21.508141,55.432743,76.730919,68.234337,68,Bolivia,BOL,2007,68.2007
38.250401,45.819908,83.336884,56.397774,68,Bolivia,BOL,2008,68.2008
26.351931,51.648037,81.255524,34.438305,68,Bolivia,BOL,2009,68.2009
36.350716,48.056957,84.361877,56.709736,68,Bolivia,BOL,2010,68.20099999999999
,,,,68,,,2011,
54.846653,48.914036,85.894157,46.777893,68,Bolivia,BOL,2012,68.2012
,,,,68,,,2013,
53.588306,51.164089,84.830093,48.484344,68,Bolivia,BOL,2014,68.20140000000001
20.417028,51.119175,78.886841,51.025639,68,Bolivia,BOL,2015,68.2015
,,,,70,,,1995,
,,,,70,,,1996,
,,,,70,,,1997,
,,,,70,,,1998,
,,,,70,,,1999,
,,,42.92683,70,Bosnia & Herzegovina,BIH,2000,70.2
,,,,70,,,2001,
,,,,70,,,2002,
,,,53.761063,70,Bosnia & Herzegovina,BIH,2003,70.2003
,,73.820396,48.063782,70,Bosnia & Herzegovina,BIH,2004,70.2004
,34.639175,70.531403,29.436325,70,Bosnia & Herzegovina,BIH,2005,70.20050000000001
,,,,70,,,2006,
,45.106693,63.764881,43.459915,70,Bosnia & Herzegovina,BIH,2007,70.2007
,,,,70,,,2008,
,,,,70,,,2009,
,,,,70,,,2010,
,,,,70,,,2011,
,,,,70,,,2012,
,,,,70,,,2013,
,,,,70,,,2014,
,,,,70,,,2015,
,,,,72,,,1995,
,,,,72,,,1996,
,,,,72,,,1997,
,,,,72,,,1998,
14.73963,75.515465,90,81.461517,72,Botswana,BWA,1999,72.1999
,,,,72,,,2000,
,,,,72,,,2001,
,,,,72,,,2002,
,,,,72,,,2003,
,,,,72,,,2004,
5.9463987,68.517677,82.990654,79.539413,72,Botswana,BWA,2005,72.20050000000001
,,,,72,,,2006,
,,,,72,,,2007,
40.589378,80.592934,91.304344,90.406799,72,Botswana,BWA,2008,72.2008
,,,,72,,,2009,
,,,,72,,,2010,
,,,,72,,,2011,
11.092437,72.913155,89.221558,88.097496,72,Botswana,BWA,2012,72.2012
,,,,72,,,2013,
,72.171455,90.936684,85.328056,72,Botswana,BWA,2014,72.20140000000001
,,,,72,,,2015,
,34.274784,61.658535,26.320501,76,Brazil,BRA,1995,76.1995
12.53508,30.798477,64.077667,29.249012,76,Brazil,BRA,1996,76.1996
4.8830113,29.539005,67.225952,16.490486,76,Brazil,BRA,1997,76.19970000000001
4.522613,34.798908,65.511726,32.452431,76,Brazil,BRA,1998,76.1998
,,,,76,,,1999,
3.9354188,29.106028,58.096279,45.957096,76,Brazil,BRA,2000,76.2
,,,,76,,,2001,
,,,,76,,,2002,
,,,,76,,,2003,
15.744262,44.087578,68.065834,34.17997,76,Brazil,BRA,2004,76.2004
5.6903768,32.31139,64.173637,28.36495,76,Brazil,BRA,2005,76.20050000000001
26.984816,45.82106,71.360542,48.219177,76,Brazil,BRA,2006,76.20059999999999
5.6808686,38.933098,65.570602,55.049259,76,Brazil,BRA,2007,76.2007
31.337112,47.985546,70.750694,48.110802,76,Brazil,BRA,2008,76.2008
7.5503354,46.3615,70.656189,49.280575,76,Brazil,BRA,2009,76.2009
33.671661,51.577293,73.212051,52.824512,76,Brazil,BRA,2010,76.20099999999999
,,,,76,,,2011,
58.407078,55.865921,73.766327,47.742588,76,Brazil,BRA,2012,76.2012
,,,,76,,,2013,
53.116531,45.534069,72.410072,34.026379,76,Brazil,BRA,2014,76.20140000000001
7.4373484,31.21965,71.7033,39.532791,76,Brazil,BRA,2015,76.2015
,,,,84,,,1995,
,,,,84,,,1996,
,,,,84,,,1997,
,,,,84,,,1998,
,,,,84,,,1999,
,,,,84,,,2000,
,,,,84,,,2001,
,,,,84,,,2002,
,,,,84,,,2003,
,,,,84,,,2004,
,,,,84,,,2005,
,,,,84,,,2006,
,,,,84,,,2007,
53.526505,53.099663,83.099174,58.549862,84,Belize,BLZ,2008,84.2008
,,,,84,,,2009,
46.893421,50.340134,84.229134,49.558723,84,Belize,BLZ,2010,84.20099999999999
,,,,84,,,2011,
56.141521,56.778522,93.943474,58.697601,84,Belize,BLZ,2012,84.2012
,,,,84,,,2013,
59.845982,48.884426,84.367249,45.561413,84,Belize,BLZ,2014,84.20140000000001
,,,,84,,,2015,
,,,,100,,,1995,
,,,,100,,,1996,
,,,,100,,,1997,
,,,,100,,,1998,
,,,,100,,,1999,
,,,58.67347,100,Bulgaria,BGR,2000,100.2
,,,,100,,,2001,
,,,,100,,,2002,
,22.769466,,61.246613,100,Bulgaria,BGR,2003,100.2003
34.764214,35.102612,67.266342,62.310932,100,Bulgaria,BGR,2004,100.2004
29.567057,32.422752,65.153275,40.600521,100,Bulgaria,BGR,2005,100.2005
,,,,100,,,2006,
28.792568,35.183784,62.86031,41.478695,100,Bulgaria,BGR,2007,100.2007
,,,,100,,,2008,
,,,,100,,,2009,
,,,,100,,,2010,
,,,,100,,,2011,
,,,,100,,,2012,
33.198036,25.893368,,39.855839,100,Bulgaria,BGR,2013,100.2013
,,,,100,,,2014,
,,,,100,,,2015,
,,,,108,,,1995,
,,,,108,,,1996,
,,,,108,,,1997,
